"STATION","NAME","DATE","ACMH","ACSH","AWND","DAEV","DAWM","EVAP","FMTM","FRGT","MDEV","MDWM","MNPN","MXPN","PGTM","PRCP","PSUN","SN12","SN32","SN52","SNOW","SNWD","SX12","SX32","SX52","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFI","WDFM","WDMV","WESD","WSF1","WSF2","WSF5","WSFG","WSFI","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-03-01",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-03-02",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"58","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-03-03",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"63","29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-03-04",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"71","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-03-05",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"71","54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-03-06",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"71","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-03-07",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"76","41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-03-08",,,,,,,,,,,,,,"0.10",,,,,"0.0","0.0",,,,,"74","54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-03-09",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"64","51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-03-10",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"62","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-03-11",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"73","46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-03-12",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"75","42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-03-13",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"70","42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-03-14",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"73","49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-03-15",,,,,,,,,,,,,,"0.06",,,,,"0.0","0.0",,,,,"69","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-03-16",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"47","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-03-17",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"59","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-03-18",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"65","48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
